Bien	ADVgen	bien
Leuse	NOMpro	Leuze
,	PONfbl	,
faisoumes	VERcjg	faire
a	PRE	a
sawoir	VERinf	savoir
a	PRE	a
tous	DETind	tous
çaus	PROdem	cil
ki	PROrel	qui
sont	VERcjg	estre
et	CONcoo	et
ki	PROrel	qui
a	PRE	a
venir	VERinf	venir
sont	VERcjg	estre
ki	PROrel	qui
cest	DETdem	cest
escrit	NOMcom	écrit
veront	VERcjg	voir
et	CONcoo	et
oront	VERcjg	ouïr
k'	CONsub	que
entre	PRE	entre
mi	PROper	moi
,	PONfbl	,
Watier	NOMpro	Watier
,	PONfbl	,
segneur	NOMcom	seigneur
del	PRE.DETdef	de
Caisnoit	NOMpro	Quesnoy
,	PONfbl	,
et	CONcoo	et
çaus	PROdem	cil
de	PRE	de
le	DETdef	le
glise	NOMcom	église
de	PRE	de
Saint	ADJqua	saint
Nicholai	NOMpro	Nicolas
des	PRE.DETdef	de.le
Prés	NOMcom	pré
d'	PRE	de
encoste	PRE	encoste
Tournai	NOMpro	Tournai
avoit	VERcjg	avoir
un	DETndf	un
content	NOMcom	content
et	CONcoo	et
un	DETndf	un
estrit	NOMcom	estrif
de	PRE	de
leur	DETpos	leur
escluse	NOMcom	écluse
et	CONcoo	et
de	PRE	de
leur	DETpos	leur
ventaile	NOMcom	vantaille
et	CONcoo	et
de	PRE	de
leur	DETpos	leur
conduit	NOMcom	conduit
et	CONcoo	et
del	PRE.DETdef	de
recet	NOMcom	recet
del'eue	VERppe	délouer
del	PRE.DETdef	de
moulin	NOMcom	moulin
de	PRE	de
Lanbrechies	NOMpro	Lambrechies
.	PONfrt	.

Longement	ADVgen	longuement
avoit	VERcjg	avoir
duret	VERppe	durer
li	DETdef	le
contens	NOMcom	content
et	CONcoo	et
li	DETdef	le
estris	NOMcom	estrif
,	PONfbl	,
mais	CONcoo	mais
par	PRE	par
le	DETdef	le
consel	NOMcom	conseil
de	PRE	de
sages	ADJqua	sage
houmes	NOMcom	homme
et	CONcoo	et
