MAISTRE	NOMcom	maistre
marchandise	NOMcom	marchandise
?	PONfrt	?

S'	PROper	soi
en	PROadv	en
peult	VERcjg	pouvoir
on	PROind	on
ne	CONcoo	ne
soigner	VERinf	soigner
ne	CONcoo	ne
paistre	VERinf	paître
?	PONfrt	?

LE	DETdef	le
DRAPPIER	NOMcom	drepier
Et	CONcoo	et
,	PONfbl	,
se	CONsub	se
m'	PROper	je
aïst	VERcjg	aidier
Dieu	NOMpro	Dieu
,	PONfbl	,
mon	DETpos	mon
doulx	ADJqua	deux
maistre	NOMcom	maître
,	PONfbl	,
je	PROper	je
ne	ADVneg	ne
sçay	VERcjg	savoir
;	PONfbl	;
tousjours“hay	ADVgen	toujours
avant	ADVgen	avant
!	PONfrt	!

”	PONpdr	”
PATHELIN	NOMcom	patilin
Ha	INJ	ha
!	PONfrt	!

qu'	PROrel	que
estoit	VERcjg	estre
ung	DETndf	un
homme	NOMcom	homme
sçavant	VERppa	savoir
je	PROper	je
requier	VERcjg	requérir
Dieu	NOMpro	Dieu
qu'	CONsub	que
il	PROper	il
en	PROadv	en
ait	VERcjg	avoir
l'	DETdef	le
ame	NOMcom	ame
de	PRE	de
vostre	DETpos	vostre
pere	NOMcom	père
!	PONfrt	!

Doulce	ADJqua	douz
dame	NOMcom	dame
,	PONfbl	,
il	PROimp	il
m'	PROper	je
est	VERcjg	estre
advis	NOMcom	avis
tout	ADVgen	tout
clerement	ADVgen	clairement
que	CONsub	que
c'	PROdem	ce
est	VERcjg	estre
il	PROper	il
de	PRE	de
vous	PROper	vous
,	PONfbl	,
proprement	ADVgen	proprement
.	PONfrt	.

Qu'	PROint	que
estoit	VERcjg	estre
ce	PROdem	ce
ung	DETndf	un
bon	ADJqua	bon
marchant	NOMcom	marchand
et	CONcoo	et
saige	ADJqua	sage
!	PONfrt	!

Vous	PROper	vous
luy	PROper	lui
resemblez	VERcjg	ressembler
de	PRE	de
visaige	NOMcom	visage
,	PONfbl	,
par	PRE	par
Dieu	NOMpro	Dieu
,	PONfbl	,
comme	CONsub	comme
droitte	ADJqua	droit
paincture	NOMcom	peinture
.	PONfrt	.

Se	CONsub	se
Dieu	NOMpro	Dieu
eust	VERcjg	avoir
oncq	ADVgen	onques
de	PRE	de
crëature	NOMcom	créature
mercy	NOMcom	merci
,	PONfbl	,
Dieu	NOMpro	Dieu
vray	ADJqua	vrai
pardon	NOMcom	pardon
luy	PROper	lui
face	VERcjg	faire
a	PRE	a
l'	DETdef	le
amë	NOMcom	ame
!	PONfrt	!

LE	DETdef	le
DRAPPIERAmen	NOMpro	Drapeume
,	PONfbl	,
par	PRE	par
sa	DETpos	son
grace	NOMcom	grâce
,	PONfbl	,
et	CONcoo	et
de	PRE	de
nous	PROper	nous
,	PONfbl	,
quant	CONsub	cant
il	PROimp	il
luy	PROper	lui
plaira	VERcjg	plaire
!	PONfrt	!

PATHELIN	NOMcom	patilin
Par	PRE	par
