Plaist	VERcjg	plaire
vus	PROper	vous
avez	VERcjg	avoir
defié	VERppe	défier
,	PONfbl	,
E	CONcoo	et
dolentes	ADJqua	dolent
lé	DETdef	le
marchez	NOMcom	marché
que	PROrel	que
vus	PROper	vous
devez	VERcjg	devoir
gaster	VERinf	gaster
.	PONfbl	.
”	PONpdr	”
Dist	VERcjg	dire
Vivien	NOMpro	Vivien
:	PONfbl	:
“	PONpga	“
Cest	DETdem	cest
plaid	NOMcom	plaid
soi	VERcjg	savoir
jo	PROper	je
assez	ADVgen	assez
.	PONfrt	.

Tedbald	NOMpro	Thibaud
fu	VERcjg	estre
ivre	ADJqua	ivre
erseir	VERinf	erser
de	PRE	de
sun	DETpos	son
vin	NOMcom	vin
cler	ADJqua	clair
;	PONfbl	;
Or	ADVgen	or
est	VERcjg	estre
tut	ADVgen	tout
sage	ADJqua	sage
quant	CONsub	cant
ad	VERcjg	avoir
dormi	VERppe	dormir
assez	ADVgen	assez
.	PONfrt	.

Ore	ADVgen	or
atendrun	VERcjg	attendre
nus	PROper	nous
Willame	NOMpro	Guillaume
al	PRE.DETdef	à.le
curb	ADJqua	courb
niés	NOMcom	nevo
.	PONfbl	.
”	PONpdr	”
Dunc	ADVgen	donc
out	VERcjg	avoir
cil	DETdem	cil
hunte	NOMcom	honte
qui	PROrel	que
al	PRE.DETdef	à.le
seir	NOMcom	soir
en	PROadv	en
out	VERcjg	avoir
parlez	VERppe	parler
,	PONfbl	,
E	CONcoo	et
cil	DETdem	cil
greignur	ADJqua	graindre
qui	PROrel	que
se	PROper	soi
furent	VERcjg	estre
vanté	VERppe	vanter
.	PONfrt	.

Ço	PROdem	ce
dist	VERcjg	dire
Vivien	NOMpro	Vivien
,	PONfbl	,
le	DETdef	le
chevaler	NOMcom	chevalier
oneste	ADJqua	onnête
:	PONfbl	:
“	PONpga	“
Cest	DETdem	cest
plaid	NOMcom	plaid
soi	VERcjg	savoir
jo	PROper	je
;	PONfbl	;
erseir	VERinf	erser
,	PONfbl	,
par	PRE	par
ma	DETpos	mon
teste	NOMcom	teste
,	PONfbl	,
Tedbald	NOMpro	Thibaud
ert	VERcjg	être
ivre	ADJqua	ivre
al	PRE.DETdef	à.le
repeirer	VERinf	repairer
de	PRE	de
vespres	NOMcom	vespre
;	PONfbl	;
Ore	ADVgen	or
ad	VERcjg	avoir
assez	ADVgen	assez
dormi	VERppe	dormir
;	PONfbl	;
nus	PROper	nous
atendrun	VERcjg	attendre
Willames	NOMpro	Guillaume
.	PONfbl	.
”	PONpdr	”
Este	VERcjg	estre
vus	PROper	vous
errant	VERppa	errer
Esturmi	VERppe	estourmir
par	PRE	par
la	DETdef	le
presse	NOMcom	presse
;	PONfbl	;
Vint	VERcjg	venir
a	PRE	a
Tebald	NOMpro	Thibaud
,	PONfbl	,
sil	ADVgen.PROper	si.le
prist	VERcjg	prendre
par	PRE	par
la	DETdef	le
main	NOMcom	main
destre	ADJqua	destre
.	PONfrt	.

“	PONpga	“
Ber	NOMcom	baron
,	PONfbl	,
ne	ADVneg	ne
te	PROper	tu
menbre	VERcjg	membrer
del	PRE.DETdef	de
repeirer	VERinf	repairer
de	PRE	de
vespres	NOMcom	vespre
,	PONfbl	,
De	PRE	de
Deramed	NOMpro	Deramet
e	CONcoo	et
de	PRE	de
la	DETdef	le
dure	ADJqua	dur
novele	NOMcom	novele
?	PONfrt	?

”	PONpdr	”
Respunt	VERcjg	répondre
Tedbald	NOMpro	Thibaud
:	PONfbl	:
“	PONpga	“
Ai	VERcjg	avoir
jo	PROper	je
mandé	VERppe	mander
Willame	NOMpro	Guillaume
?	PONfrt	?

“	PONpga	“
Nenil	ADVneg	nenil
,	PONfbl	,
bels	ADJqua	beau
sire	NOMcom	seignor
,	PONfbl	,
car	CONcoo	car
il	PROper	il
ne	ADVneg	ne
puet	VERcjg	pöoir
a	PRE	a
tens	NOMcom	temps
estre	VERinf	estre
.	PONfbl	.
”	PONpdr	”
“	PONpga	“
Par	PRE	par
mi	NOMcom	mi
le	DETdef	le
col	NOMcom	col
t'	PROper	tu
en	PROadv	en
oras	VERcjg	ouïr
herseir	VERinf	erser
dehé	VERppe	defé
,	PONfbl	,
Si	CONsub	si
tu	PROper	tu
mandoues	VERcjg	mander
Willame	NOMpro	Guillaume
al	PRE.DETdef	à.le
curb	ADJqua	courb
niés	NOMcom	nevo
.	PONfbl	.
”	PONpdr	”
Respunt	VERcjg	répondre
Tedbald	NOMpro	Thibaud
:	PONfbl	:
“	PONpga	“
